block,price,ts,started_at
13481546,402837000000,1635095297,1635095297
13481547,402837000000,1635095297,1635095297
13481548,402837000000,1635095297,1635095297
13481549,402837000000,1635095297,1635095297
13481550,402837000000,1635095297,1635095297
13481551,402837000000,1635095297,1635095297
13481552,402837000000,1635095297,1635095297
13481553,402837000000,1635095297,1635095297
13481554,402837000000,1635095297,1635095297
13481555,402837000000,1635095297,1635095297
13481556,402837000000,1635095297,1635095297
13481557,402837000000,1635095297,1635095297
13481558,402837000000,1635095297,1635095297
13481559,402837000000,1635095297,1635095297
13481560,402837000000,1635095297,1635095297
13481561,402837000000,1635095297,1635095297
13481562,402837000000,1635095297,1635095297
13481563,402837000000,1635095297,1635095297
13481564,402837000000,1635095297,1635095297
13481565,402837000000,1635095297,1635095297
13481566,402837000000,1635095297,1635095297
13481567,402837000000,1635095297,1635095297
13481568,402837000000,1635095297,1635095297
13481569,402837000000,1635095297,1635095297
13481570,402837000000,1635095297,1635095297
13481571,402837000000,1635095297,1635095297
13481572,402837000000,1635095297,1635095297
13481573,402837000000,1635095297,1635095297
13481574,402837000000,1635095297,1635095297
13481575,402837000000,1635095297,1635095297
13481576,402837000000,1635095297,1635095297
13481577,402837000000,1635095297,1635095297
13481578,402837000000,1635095297,1635095297
13481579,402837000000,1635095297,1635095297
13481580,402837000000,1635095297,1635095297
13481581,402837000000,1635095297,1635095297
13481582,402837000000,1635095297,1635095297
13481583,402837000000,1635095297,1635095297
13481584,402837000000,1635095297,1635095297
13481585,402837000000,1635095297,1635095297
13481586,402837000000,1635095297,1635095297
13481587,402837000000,1635095297,1635095297
13481588,402837000000,1635095297,1635095297
13481589,402837000000,1635095297,1635095297
13481590,402837000000,1635095297,1635095297
13481591,402837000000,1635095297,1635095297
13481592,402837000000,1635095297,1635095297
13481593,402837000000,1635095297,1635095297
13481594,402837000000,1635095297,1635095297
13481595,402837000000,1635095297,1635095297
13481596,402837000000,1635095297,1635095297
13481597,402837000000,1635095297,1635095297
13481598,402837000000,1635095297,1635095297
13481599,402837000000,1635095297,1635095297
13481600,402837000000,1635095297,1635095297
13481601,402837000000,1635095297,1635095297
13481602,402837000000,1635095297,1635095297
13481603,402837000000,1635095297,1635095297
13481604,402837000000,1635095297,1635095297
13481605,402837000000,1635095297,1635095297
13481606,402837000000,1635095297,1635095297
13481607,402837000000,1635095297,1635095297
13481608,402837000000,1635095297,1635095297
13481609,402837000000,1635095297,1635095297
13481610,402837000000,1635095297,1635095297
13481611,402837000000,1635095297,1635095297
13481612,402837000000,1635095297,1635095297
13481613,402837000000,1635095297,1635095297
13481614,402837000000,1635095297,1635095297
13481615,402837000000,1635095297,1635095297
13481616,402837000000,1635095297,1635095297
13481617,402150528899,1635098118,1635098118
13481618,402150528899,1635098118,1635098118
13481619,402150528899,1635098118,1635098118
13481620,402150528899,1635098118,1635098118
13481621,402150528899,1635098118,1635098118
13481622,402150528899,1635098118,1635098118
13481623,402150528899,1635098118,1635098118
13481624,402150528899,1635098118,1635098118
13481625,402150528899,1635098118,1635098118
13481626,402150528899,1635098118,1635098118
13481627,402150528899,1635098118,1635098118
13481628,402150528899,1635098118,1635098118
13481629,402150528899,1635098118,1635098118
13481630,402150528899,1635098118,1635098118
13481631,402150528899,1635098118,1635098118
13481632,402150528899,1635098118,1635098118
13481633,402150528899,1635098118,1635098118
13481634,402150528899,1635098118,1635098118
13481635,402150528899,1635098118,1635098118
13481636,402150528899,1635098118,1635098118
13481637,402150528899,1635098118,1635098118
13481638,402150528899,1635098118,1635098118
13481639,402150528899,1635098118,1635098118
13481640,402150528899,1635098118,1635098118
13481641,402150528899,1635098118,1635098118
13481642,402150528899,1635098118,1635098118
13481643,402150528899,1635098118,1635098118
13481644,402150528899,1635098118,1635098118
13481645,402150528899,1635098118,1635098118
13481646,402150528899,1635098118,1635098118
13481647,402150528899,1635098118,1635098118
13481648,402150528899,1635098118,1635098118
13481649,402150528899,1635098118,1635098118
13481650,402150528899,1635098118,1635098118
13481651,402150528899,1635098118,1635098118
13481652,402150528899,1635098118,1635098118
13481653,402150528899,1635098118,1635098118
13481654,402150528899,1635098118,1635098118
13481655,402150528899,1635098118,1635098118
13481656,402150528899,1635098118,1635098118
13481657,402150528899,1635098118,1635098118
13481658,402150528899,1635098118,1635098118
13481659,402150528899,1635098118,1635098118
13481660,402150528899,1635098118,1635098118
13481661,402150528899,1635098118,1635098118
13481662,402150528899,1635098118,1635098118
13481663,402150528899,1635098118,1635098118
13481664,402150528899,1635098118,1635098118
13481665,402150528899,1635098118,1635098118
13481666,402150528899,1635098118,1635098118
13481667,402150528899,1635098118,1635098118
13481668,402150528899,1635098118,1635098118
13481669,402150528899,1635098118,1635098118
13481670,402150528899,1635098118,1635098118
13481671,402150528899,1635098118,1635098118
13481672,402150528899,1635098118,1635098118
13481673,402150528899,1635098118,1635098118
13481674,402150528899,1635098118,1635098118
13481675,402150528899,1635098118,1635098118
13481676,402150528899,1635098118,1635098118
13481677,402150528899,1635098118,1635098118
13481678,402150528899,1635098118,1635098118
13481679,402150528899,1635098118,1635098118
13481680,402150528899,1635098118,1635098118
13481681,402150528899,1635098118,1635098118
13481682,402150528899,1635098118,1635098118
13481683,402150528899,1635098118,1635098118
13481684,402150528899,1635098118,1635098118
13481685,402150528899,1635098118,1635098118
13481686,402150528899,1635098118,1635098118
13481687,402150528899,1635098118,1635098118
13481688,402150528899,1635098118,1635098118
13481689,402150528899,1635098118,1635098118
13481690,402150528899,1635098118,1635098118
13481691,402150528899,1635098118,1635098118
13481692,402150528899,1635098118,1635098118
13481693,402150528899,1635098118,1635098118
13481694,402150528899,1635098118,1635098118
13481695,402150528899,1635098118,1635098118
13481696,402150528899,1635098118,1635098118
13481697,402150528899,1635098118,1635098118
13481698,402150528899,1635098118,1635098118
13481699,402150528899,1635098118,1635098118
13481700,402150528899,1635098118,1635098118
13481701,402150528899,1635098118,1635098118
13481702,402150528899,1635098118,1635098118
13481703,402150528899,1635098118,1635098118
13481704,402150528899,1635098118,1635098118
13481705,402150528899,1635098118,1635098118
13481706,402150528899,1635098118,1635098118
13481707,402150528899,1635098118,1635098118
13481708,402150528899,1635098118,1635098118
13481709,402150528899,1635098118,1635098118
13481710,402150528899,1635098118,1635098118
13481711,402150528899,1635098118,1635098118
13481712,402150528899,1635098118,1635098118
13481713,402150528899,1635098118,1635098118
13481714,402150528899,1635098118,1635098118
13481715,402150528899,1635098118,1635098118
13481716,402150528899,1635098118,1635098118
13481717,402150528899,1635098118,1635098118
13481718,402150528899,1635098118,1635098118
13481719,402150528899,1635098118,1635098118
13481720,400120708218,1635099391,1635099391
13481721,400120708218,1635099391,1635099391
13481722,400120708218,1635099391,1635099391
13481723,400120708218,1635099391,1635099391
13481724,400120708218,1635099391,1635099391
13481725,400120708218,1635099391,1635099391
13481726,400120708218,1635099391,1635099391
13481727,400120708218,1635099391,1635099391
13481728,400120708218,1635099391,1635099391
13481729,400120708218,1635099391,1635099391
13481730,400120708218,1635099391,1635099391
13481731,400120708218,1635099391,1635099391
13481732,400120708218,1635099391,1635099391
13481733,400120708218,1635099391,1635099391
13481734,400120708218,1635099391,1635099391
13481735,400120708218,1635099391,1635099391
13481736,400120708218,1635099391,1635099391
13481737,400120708218,1635099391,1635099391
13481738,400120708218,1635099391,1635099391
13481739,400120708218,1635099391,1635099391
13481740,400120708218,1635099391,1635099391
13481741,400120708218,1635099391,1635099391
13481742,400120708218,1635099391,1635099391
13481743,400120708218,1635099391,1635099391
13481744,400120708218,1635099391,1635099391
13481745,400120708218,1635099391,1635099391
13481746,400120708218,1635099391,1635099391
13481747,400120708218,1635099391,1635099391
13481748,400120708218,1635099391,1635099391
13481749,400120708218,1635099391,1635099391
13481750,400120708218,1635099391,1635099391
13481751,400120708218,1635099391,1635099391
13481752,400120708218,1635099391,1635099391
13481753,400120708218,1635099391,1635099391
13481754,400120708218,1635099391,1635099391
13481755,400120708218,1635099391,1635099391
13481756,400120708218,1635099391,1635099391
13481757,400120708218,1635099391,1635099391
13481758,400120708218,1635099391,1635099391
13481759,400120708218,1635099391,1635099391
13481760,400120708218,1635099391,1635099391
13481761,400120708218,1635099391,1635099391
13481762,400120708218,1635099391,1635099391
13481763,400120708218,1635099391,1635099391
13481764,400120708218,1635099391,1635099391
13481765,400120708218,1635099391,1635099391
13481766,400120708218,1635099391,1635099391
13481767,400120708218,1635099391,1635099391
13481768,400120708218,1635099391,1635099391
13481769,400120708218,1635099391,1635099391
13481770,400120708218,1635099391,1635099391
13481771,400120708218,1635099391,1635099391
13481772,400120708218,1635099391,1635099391
13481773,398028349972,1635100060,1635100060
13481774,398028349972,1635100060,1635100060
13481775,398028349972,1635100060,1635100060
13481776,398028349972,1635100060,1635100060
13481777,398028349972,1635100060,1635100060
13481778,398028349972,1635100060,1635100060
13481779,398028349972,1635100060,1635100060
13481780,398028349972,1635100060,1635100060
13481781,398028349972,1635100060,1635100060
13481782,398028349972,1635100060,1635100060
13481783,398028349972,1635100060,1635100060
13481784,398028349972,1635100060,1635100060
13481785,398028349972,1635100060,1635100060
13481786,398028349972,1635100060,1635100060
13481787,398028349972,1635100060,1635100060
13481788,398028349972,1635100060,1635100060
13481789,398028349972,1635100060,1635100060
13481790,398028349972,1635100060,1635100060
13481791,398028349972,1635100060,1635100060
13481792,398028349972,1635100060,1635100060
13481793,398028349972,1635100060,1635100060
13481794,398028349972,1635100060,1635100060
13481795,398028349972,1635100060,1635100060
13481796,398028349972,1635100060,1635100060
13481797,398028349972,1635100060,1635100060
13481798,398028349972,1635100060,1635100060
13481799,398028349972,1635100060,1635100060
13481800,398028349972,1635100060,1635100060
13481801,398028349972,1635100060,1635100060
13481802,398028349972,1635100060,1635100060
13481803,398028349972,1635100060,1635100060
13481804,398028349972,1635100060,1635100060
13481805,398028349972,1635100060,1635100060
13481806,398028349972,1635100060,1635100060
13481807,398028349972,1635100060,1635100060
13481808,398028349972,1635100060,1635100060
13481809,398028349972,1635100060,1635100060
13481810,398028349972,1635100060,1635100060
13481811,398028349972,1635100060,1635100060
13481812,398028349972,1635100060,1635100060
13481813,398028349972,1635100060,1635100060
13481814,398028349972,1635100060,1635100060
13481815,398028349972,1635100060,1635100060
13481816,398028349972,1635100060,1635100060
13481817,398028349972,1635100060,1635100060
13481818,398028349972,1635100060,1635100060
13481819,398028349972,1635100060,1635100060
13481820,398028349972,1635100060,1635100060
13481821,398028349972,1635100060,1635100060
13481822,398028349972,1635100060,1635100060
13481823,398028349972,1635100060,1635100060
13481824,398028349972,1635100060,1635100060
