block,price,ts
13538974,3031454440000000000,1635875626
13538975,3031454440000000000,1635875661
13538976,3031454440000000000,1635875677
13538977,3031454440000000000,1635875694
13538978,3031454440000000000,1635875707
13538979,3031454440000000000,1635875733
13538980,3031454440000000000,1635875752
13538981,3031454440000000000,1635875755
13538982,3031454440000000000,1635875770
13538983,3031454440000000000,1635875773
13538984,3031454440000000000,1635875800
13538985,3031454440000000000,1635875803
13538986,3031454440000000000,1635875818
13538987,3031454440000000000,1635875828
13538988,3031454440000000000,1635875837
13538989,3031454440000000000,1635875841
13538990,3031454440000000000,1635875853
13538991,3031454440000000000,1635875880
13538992,3031454440000000000,1635875915
13538993,3031454440000000000,1635875917
13538994,3031454440000000000,1635875956
13538995,3031454440000000000,1635875960
13538996,3031454440000000000,1635875968
13538997,3031454440000000000,1635875974
13538998,3031454440000000000,1635875987
13538999,3031454440000000000,1635875991
13539000,3031454440000000000,1635875996
13539001,3031454440000000000,1635876007
13539002,3031454440000000000,1635876029
13539003,3031454440000000000,1635876061
13539004,3031454440000000000,1635876068
13539005,3031454440000000000,1635876076
13539006,3031454440000000000,1635876084
13539007,3031454440000000000,1635876107
13539008,3031454440000000000,1635876110
13539009,3031454440000000000,1635876133
13539010,3031454440000000000,1635876145
13539011,3031454440000000000,1635876148
13539012,3031454440000000000,1635876157
13539013,3031454440000000000,1635876181
13539014,3031454440000000000,1635876182
13539015,3031454440000000000,1635876185
13539016,3031454440000000000,1635876199
13539017,3031454440000000000,1635876207
13539018,3031454440000000000,1635876214
13539019,3031454440000000000,1635876221
13539020,3031454440000000000,1635876237
13539021,3031454440000000000,1635876262
13539022,3031454440000000000,1635876264
13539023,3031454440000000000,1635876280
13539024,3031454440000000000,1635876291
13539025,3031454440000000000,1635876304
13539026,3031454440000000000,1635876321
13539027,3031454440000000000,1635876325
13539028,3031454440000000000,1635876332
13539029,3031454440000000000,1635876337
13539030,3031454440000000000,1635876360
13539031,3031454440000000000,1635876383
13539032,3031454440000000000,1635876387
13539033,3031454440000000000,1635876415
13539034,3031454440000000000,1635876457
13539035,3031454440000000000,1635876471
13539036,3031454440000000000,1635876474
13539037,3031454440000000000,1635876486
13539038,3031454440000000000,1635876487
13539039,3031454440000000000,1635876496
13539040,3031454440000000000,1635876527
13539041,3031454440000000000,1635876533
13539042,3031454440000000000,1635876548
13539043,3031454440000000000,1635876601
13539044,3031454440000000000,1635876611
13539045,3031454440000000000,1635876636
13539046,3031454440000000000,1635876653
13539047,3031454440000000000,1635876654
13539048,3031454440000000000,1635876659
13539049,3031454440000000000,1635876702
13539050,3031454440000000000,1635876734
13539051,3031454440000000000,1635876735
13539052,3031454440000000000,1635876748
13539053,3031454440000000000,1635876774
13539054,3031454440000000000,1635876781
13539055,3031454440000000000,1635876824
13539056,3031454440000000000,1635876866
13539057,3031454440000000000,1635876869
13539058,3031454440000000000,1635876886
13539059,3031454440000000000,1635876903
13539060,3031454440000000000,1635876908
13539061,3031454440000000000,1635876918
13539062,3031454440000000000,1635876934
13539063,3031454440000000000,1635876956
13539064,3031454440000000000,1635876971
13539065,3031454440000000000,1635876990
13539066,3031454440000000000,1635876991
13539067,3031454440000000000,1635876998
13539068,3031454440000000000,1635877017
13539069,3031454440000000000,1635877035
13539070,3031454440000000000,1635877045
13539071,3031454440000000000,1635877049
13539072,3031454440000000000,1635877077
13539073,3031454440000000000,1635877089
13539074,3031454440000000000,1635877100
13539075,3031454440000000000,1635877131
13539076,3031454440000000000,1635877135
13539077,3031454440000000000,1635877154
13539078,3031454440000000000,1635877175
13539079,3031454440000000000,1635877180
13539080,3031454440000000000,1635877189
13539081,3031454440000000000,1635877196
13539082,3031454440000000000,1635877204
13539083,3031454440000000000,1635877245
13539084,3031454440000000000,1635877253
13539085,3031454440000000000,1635877263
13539086,3031454440000000000,1635877308
13539087,3031454440000000000,1635877311
13539088,3031454440000000000,1635877326
13539089,3031454440000000000,1635877358
13539090,3031454440000000000,1635877360
13539091,3031454440000000000,1635877370
13539092,3031454440000000000,1635877409
13539093,3031454440000000000,1635877428
13539094,3031454440000000000,1635877447
13539095,3031454440000000000,1635877456
13539096,3031454440000000000,1635877487
13539097,3031454440000000000,1635877494
13539098,3031454440000000000,1635877502
13539099,3031454440000000000,1635877525
13539100,3031454440000000000,1635877545
13539101,3031454440000000000,1635877553
13539102,3031454440000000000,1635877555
13539103,3031454440000000000,1635877556
13539104,3031454440000000000,1635877580
13539105,3031454440000000000,1635877609
13539106,3031454440000000000,1635877614
13539107,3031454440000000000,1635877616
13539108,3031454440000000000,1635877625
13539109,3031454440000000000,1635877636
13539110,3031454440000000000,1635877642
13539111,3031454440000000000,1635877656
13539112,3031454440000000000,1635877660
13539113,3031454440000000000,1635877661
13539114,3031454440000000000,1635877671
13539115,3031454440000000000,1635877684
13539116,3031454440000000000,1635877687
13539117,3031454440000000000,1635877688
13539118,3031454440000000000,1635877697
13539119,3031454440000000000,1635877711
13539120,3031454440000000000,1635877712
13539121,3031454440000000000,1635877769
13539122,3031454440000000000,1635877810
13539123,3031454440000000000,1635877819
13539124,3031454440000000000,1635877831
13539125,3031454440000000000,1635877857
13539126,3031454440000000000,1635877870
13539127,3031454440000000000,1635877876
13539128,3031454440000000000,1635877881
13539129,3031454440000000000,1635877893
13539130,3031454440000000000,1635877923
13539131,3031454440000000000,1635877938
13539132,3031454440000000000,1635877953
13539133,3031454440000000000,1635877969
13539134,3031454440000000000,1635877991
13539135,3031454440000000000,1635877993
13539136,3031454440000000000,1635878019
13539137,3031454440000000000,1635878021
13539138,3031454440000000000,1635878024
13539139,3031454440000000000,1635878041
13539140,3031454440000000000,1635878046
13539141,3031454440000000000,1635878062
13539142,3031454440000000000,1635878079
13539143,3031454440000000000,1635878083
13539144,3031454440000000000,1635878097
13539145,3031454440000000000,1635878109
13539146,3031454440000000000,1635878116
13539147,3031454440000000000,1635878117
13539148,3031454440000000000,1635878120
13539149,3031454440000000000,1635878144
13539150,3031454440000000000,1635878148
13539151,3031454440000000000,1635878157
13539152,3031454440000000000,1635878158
13539153,3031454440000000000,1635878163
13539154,3031454440000000000,1635878168
13539155,3031454440000000000,1635878174
13539156,3031454440000000000,1635878176
13539157,3031454440000000000,1635878186
13539158,3031454440000000000,1635878206
13539159,3031454440000000000,1635878214
13539160,3031454440000000000,1635878232
13539161,3031454440000000000,1635878242
13539162,3031454440000000000,1635878274
13539163,3031454440000000000,1635878286
13539164,3031454440000000000,1635878298
13539165,3031454440000000000,1635878303
13539166,3031454440000000000,1635878309
13539167,3031454440000000000,1635878311
13539168,3031454440000000000,1635878319
13539169,3031454440000000000,1635878333
13539170,3031454440000000000,1635878346
13539171,3031454440000000000,1635878374
13539172,3031454440000000000,1635878376
13539173,3031454440000000000,1635878390
13539174,3031454440000000000,1635878418
13539175,3031454440000000000,1635878428
13539176,3031454440000000000,1635878433
13539177,3031454440000000000,1635878452
13539178,3031454440000000000,1635878455
13539179,3031454440000000000,1635878466
13539180,3031454440000000000,1635878486
13539181,3031454440000000000,1635878489
13539182,3031454440000000000,1635878499
13539183,3031454440000000000,1635878518
13539184,3031454440000000000,1635878519
13539185,3031454440000000000,1635878520
13539186,3031454440000000000,1635878552
13539187,3031454440000000000,1635878554
13539188,3031454440000000000,1635878583
13539189,3031454440000000000,1635878584
13539190,3031454440000000000,1635878616
13539191,3031454440000000000,1635878617
