,block,price
619,12061900,3015813916881673444465958470
620,12062000,3015812768241242357194789083
621,12062100,3015811671419584908522891906
622,12062200,3015810572871049105257774524
623,12062300,3015810771963008562113058158
624,12062400,3015811985247934736464492246
625,12062500,3015812851533670701093390824
626,12062600,3015813985551415430361683511
627,12062700,3015814860735159030018243695
628,12062800,3015815905779296471823562883
629,12062900,3015816986413553179414374684
630,12063000,3015818010428108841140871364
631,12063100,3015819214818501184289192972
632,12063200,3015820374722127517921821018
633,12063300,3015821489330077182671759167
634,12063400,3015825518338525589929727141
635,12063500,3015835300901159490724908568
636,12063600,3015847652756166432604568842
637,12063700,3015859271845365477762221800
638,12063800,3015870679079828743712559333
639,12063900,3015884496724251310953055850
640,12064000,3015894456062493718573952802
641,12064100,3015907055378827254693073859
642,12064200,3015917765280559494153472010
643,12064300,3015927989608052413705473465
644,12064400,3015938355239702381755025573
645,12064500,3015950380829749585653895295
646,12064600,3015962656079109862269488737
647,12064700,3015975773958223651548276132
648,12064800,3015988452022285868249444950
649,12064900,3016001941462767574275016055
650,12065000,3016014091785804300846045654
651,12065100,3016026535409529013731958067
652,12065200,3016041862740110268477881489
653,12065300,3016055235117659291454867704
654,12065400,3016069076763884907897696740
655,12065500,3016081618366837511060197186
656,12065600,3016094893167851577697197752
657,12065700,3016110556427605406770236695
658,12065800,3016129365923171478053643183
659,12065900,3016149036928280892462346102
660,12066000,3016171433212893424250568705
661,12066100,3016194283859288911519132049
662,12066200,3016216649155819560577495091
663,12066300,3016236336392317317153747317
664,12066400,3016255099685599583560251575
665,12066500,3016274536575762287098391837
666,12066600,3016293080832688592565117493
667,12066700,3016315948063237762976436110
668,12066800,3016336543388055937168252537
669,12066900,3016355948118746038599105193
670,12067000,3016383017565909768404615973
671,12067100,3016408446115306907638173585
672,12067200,3016433694532473360289346031
673,12067300,3016454975505360078069042847
674,12067400,3016476959990098193944735675
675,12067500,3016502208980750274727044129
676,12067600,3016527909063273189973618712
677,12067700,3016547188777692402651103539
678,12067800,3016572474427162140309752364
679,12067900,3016598878498476666793572360
680,12068000,3016618571298609981582600146
681,12068100,3016637671647676440395169223
682,12068200,3016659476742797340683683531
683,12068300,3016678633405652273926603877
684,12068400,3016697075487161133126759176
685,12068500,3016713962142438016928626492
686,12068600,3016732698732819699722658580
687,12068700,3016750370373092786498807119
688,12068800,3016773101215649373014557018
689,12068900,3016791599931561417446148018
690,12069000,3016809299945478003355221229
691,12069100,3016827253041582384414969459
692,12069200,3016846168785588615090702915
693,12069300,3016864097125965774530223646
694,12069400,3016881357948438016680410914
695,12069500,3016897867788041974982026054
696,12069600,3016915532164666291439752192
697,12069700,3016932821099577956587491153
698,12069800,3016952252144675678561922028
699,12069900,3016969374379049598205910843
700,12070000,3016984577224239729103492292
701,12070100,3017002047376988366055397240
702,12070200,3017020908579030257383347540
703,12070300,3017035838013990770993089407
704,12070400,3017049470979034391339185312
705,12070500,3017060812736391506699137711
706,12070600,3017073605678854438803305798
707,12070700,3017088021671559061942689916
708,12070800,3017099010332129290139257316
709,12070900,3017111135138714853570731704
710,12071000,3017124386557859965300502097
711,12071100,3017137762148742043460853440
712,12071200,3017151796558384980897268929
713,12071300,3017164828568650269607170993
714,12071400,3017175303747441860442740660
715,12071500,3017181612131226270627263484
716,12071600,3017188326417759664086657979
717,12071700,3017195740024617456411630448
718,12071800,3017201994658290557727296301
719,12071900,3017208464476741195572154966
720,12072000,3017214748478464732325612860
721,12072100,3017220563025569338153437846
722,12072200,3017226715014436409995049372
723,12072300,3017232813222457703030233921
724,12072400,3017239278216674348132007697
725,12072500,3017245645262441087294552179
726,12072600,3017252507271536475676683983
727,12072700,3017259008916135064232153354
728,12072800,3017265974626842755867605729
729,12072900,3017272377565753182835423584
730,12073000,3017279600018164009544040822
731,12073100,3017285667286490144344989215
732,12073200,3017291986342143412954198505
733,12073300,3017298813899180403463376921
734,12073400,3017304876269354097720609276
735,12073500,3017310731306182338742427582
736,12073600,3017316803573916530958432940
737,12073700,3017322197097340094685890702
738,12073800,3017326859573448072656763712
739,12073900,3017331723026030945513330846
740,12074000,3017336359938911343090486435
741,12074100,3017341088208871053448511181
742,12074200,3017345893220323442057790581
743,12074300,3017350979598197887938126406
744,12074400,3017355667696892481259060646
745,12074500,3017361488549757366534817863
746,12074600,3017365734527354417067907291
747,12074700,3017369479908421704720741082
748,12074800,3017375268824857554211981449
749,12074900,3017380970755276005403991177
750,12075000,3017386767660099672489795098
751,12075100,3017393282998044596888195407
752,12075200,3017398415178460503106810686
753,12075300,3017403824002344824613484019
754,12075400,3017409075938325542620486177
755,12075500,3017415384879797186085999964
756,12075600,3017420426262012580205323375
757,12075700,3017426359496589078260804777
758,12075800,3017431116002044443147204470
759,12075900,3017436926443889639717469358
760,12076000,3017442243325407000564826548
761,12076100,3017446885895615391087735709
762,12076200,3017451168364049725225106876
763,12076300,3017456329929300185836265547
764,12076400,3017461258490953421044121732
765,12076500,3017466427134458196418219547
766,12076600,3017471221553493157010699049
767,12076700,3017476418458134930772053004
768,12076800,3017480739804136320766485018
769,12076900,3017485099992035840701154531
770,12077000,3017489042754705273609464896
771,12077100,3017491447456137426225557660
772,12077200,3017494086969331471420956244
773,12077300,3017496982260089240595721961
774,12077400,3017499537917309749186552084
775,12077500,3017502517074193214572119985
776,12077600,3017505064350004654564939950
777,12077700,3017507735323000378737151823
778,12077800,3017510314051134236839540330
779,12077900,3017513077276084539799552854
780,12078000,3017516138211077553554178713
781,12078100,3017519146735825824679902620
782,12078200,3017522741530590519413390359
783,12078300,3017526762157469640231656494
784,12078400,3017530860890618284037320436
785,12078500,3017535203304524732181433314
786,12078600,3017539067745752691437779040
787,12078700,3017542504197242777793638334
788,12078800,3017546890364648155046503996
789,12078900,3017551385880449504120226734
790,12079000,3017555106635563220405972541
791,12079100,3017559420967765749953474506
792,12079200,3017563432271306741266608013
793,12079300,3017568055928204531628869738
794,12079400,3017576590240281447217416962
795,12079500,3017586527483388221593478392
796,12079600,3017596829241238959267867995
797,12079700,3017607007247485181944213055
798,12079800,3017616064326504227844963116
799,12079900,3017625369007746014320536447
800,12080000,3017634673717678360219737477
801,12080100,3017646034718005287789961270
802,12080200,3017655449526109301031400286
803,12080300,3017664740574444683791483976
804,12080400,3017677997757987070651796213
805,12080500,3017699648475197710339568405
806,12080600,3017719057600224615594552700
807,12080700,3017736760219533960097576762
808,12080800,3017759481625747236884936135
809,12080900,3017778789893428118937967730
810,12081000,3017800716135963360655201283
811,12081100,3017822801634973334252359195
812,12081200,3017839998641674295857104201
813,12081300,3017857166819284417839522397
814,12081400,3017874552048960948787045411
815,12081500,3017898829897432214123504900
816,12081600,3017924793834750768355340350
817,12081700,3017951416882683153028952643
818,12081800,3017975754630822067863789444
819,12081900,3018006990420887231794804186
820,12082000,3018036579269033897589356618
821,12082100,3018065035901861805048772235
